doi,title,publication_year,route_to_verify,provisional_design,provisional_mechanism,abstract_basis,full_text_gate,effect_extraction_status
10.1111/j.0030-1299.2006.13981.x,"Natural and artificial floral damage induces resistance in Nemophila menziesii (Hydrophyllaceae) flowers",2006,B_to_antagonist,direct_experiment,induced_floral_resistance,"Natural/artificial floral damage and induced resistance are explicit in title/abstract.","Verify flower-organ B; floral-antagonist outcome; numerical contrast and variance; independent study identity.",not_extracted
10.3732/ajb.93.1.64,"Correlations among traits associated with herbivore resistance and pollination: implications for pollination and nectar robbing in a distylous plant",2006,B_to_antagonist,observational_association,traits_resistance_nectar_robbing,"Trait correlations, herbivore resistance, pollination, and nectar robbing are explicit.","Verify B is flower-organ matched; recoverable association and sample size; independent study identity.",not_extracted
10.1111/j.1365-313x.2006.02995.x,"Making sense of nectar scents: the effects of nectar secondary metabolites on floral visitors of Nicotiana attenuata",2007,B_to_pollinator,choice_assay,nectar_secondary_metabolites,"Standardized choice tests with pollinators and a nectar thief are explicit.","Verify treatment contrast, outcome counts/means, variance or exact test statistics, and independent study identity.",not_extracted
10.1111/j.1365-2311.2007.00938.x,"Role of floral repellents in the regulation of flower visits of extrafloral nectary-visiting ants in an Indian crop plant",2008,B_to_antagonist,behavioural_bioassay,floral_repellents,"Ant aversion and floral preference bioassay are explicit.","Verify ants function as floral antagonists and whether a flower-specific B contrast and effect statistics are available.",not_extracted
10.1111/ele.12038,"Petunia flowers solve the defence/apparency dilemma of pollinator attraction by deploying complex floral blends",2013,B_to_antagonist,field_and_behavioural,complex_floral_blends,"Explicit defence/apparency dilemma with pollinator attraction.","Verify which blend components are B rather than A and whether comparable animal-response effects are extractable.",not_extracted
10.1890/15-0858.1,"Nectar microbes can reduce secondary metabolites in nectar and alter effects on nectar consumption by pollinators",2016,B_to_pollinator,direct_experiment,nectar_secondary_metabolites_microbes,"Synthetic nectar laboratory and field experiments with pollinator consumption are explicit.","Verify effect contrast and variance for nectar chemistry and pollinator consumption.",not_extracted
10.1038/s41598-017-01980-1,"Nicotine in floral nectar pharmacologically influences bumblebee learning of floral features",2017,B_to_pollinator,direct_experiment,nectar_nicotine,"Controlled nicotine exposure and bumblebee learning response are explicit.","Verify behavioural outcome compatible with declared pollinator-response family and extractable variance.",not_extracted
10.1073/pnas.1703463114,"Flower-specific jasmonate signaling regulates constitutive floral defenses in wild tobacco",2018,B_to_antagonist,direct_experiment,flower_specific_jasmonate_defence,"Flower-specific signalling and constitutive defence are explicit.","Verify floral-antagonist outcome and effect size rather than defence chemistry alone.",not_extracted
10.1111/1442-1984.12386,"Florivory in two Chamaecrista species: Are secretory trichomes effective against florivores?",2018,B_to_antagonist,comparative_or_assay,secretory_trichomes,"Direct test whether secretory trichomes are effective against florivores.","Verify organ match, comparable trichome contrast, damage/attack outcome, and variance.",not_extracted
10.1111/1365-2435.13332,"The defensive function of a pollinator-attracting floral volatile",2019,B_to_antagonist,direct_experiment_or_choice,defensive_floral_volatile,"Title directly states a defensive function of a floral volatile.","Verify manipulation, antagonistic response, and separate attraction versus defence trait-role coding.",not_extracted
10.1111/1365-2435.13423,"Cryptic petal coloration decreases floral apparency and herbivory in nocturnally closing daisies",2019,B_to_antagonist,observational_and_experimental,cryptic_petal_coloration,"Title directly links cryptic petals to reduced apparency and herbivory.","Verify explicit defensive mechanism, experimental/comparative contrast, and extractable attack/damage effect.",not_extracted
10.3389/fpls.2020.611877,"Flower Production, Headspace Volatiles, Pollen Nutrients, and Florivory in Tanacetum vulgare Chemotypes",2021,B_to_antagonist,comparative_chemotype,headspace_volatiles,"Chemotypes floral volatile traits and florivory are measured.","Verify trait role B versus A, model outputs convertible to Fisher z or another compatible effect, and study identity.",not_extracted
10.1093/aob/mcaa168,"Slippery flowers as a mechanism of defence against nectar-thieving ants",2021,B_to_antagonist,direct_experiment_or_field_comparison,physical_access_barrier,"Ant deterrence/nectar thieving and a physical floral barrier are explicit.","Verify ant outcome, barrier contrast, and extractable counts/means/variance.",not_extracted
10.1038/s41598-021-90895-z,"Nectar non-protein amino acids (NPAAs) do not change nectar palatability but enhance learning and memory in honey bees",2021,B_to_pollinator,direct_experiment,nectar_nonprotein_amino_acids,"Behavioural feeding/preference and learning experiments are explicit.","Verify whether NPAA treatment is a B-flower deterrence/filter contrast and which outcome is poolable.",not_extracted
10.1093/aob/mcad064,"Floral volatiles evoke partially similar responses in both florivores and pollinators and are correlated with non-volatile reward chemicals",2023,B_to_antagonist,behavioural_or_association,floral_volatiles,"Florivore and pollinator response to floral volatiles is explicit.","Verify defensive role, experimental/association metric, and whether outcomes can be separated by guild.",not_extracted
10.1242/jeb.246156,"Nectar cardenolides and floral volatiles mediate a specialized wasp pollination system",2024,B_to_pollinator,direct_experiment,nectar_cardenolides,"Nectar cardenolides and specialized pollinator filtering are explicit.","Verify treatment/control or continuous contrast, response outcome, and variance.",not_extracted
10.1111/j.1461-0248.2007.01027.x,"Ecological context influences pollinator deterrence by alkaloids in floral nectar",2007,B_to_pollinator,choice_assay,nectar_alkaloid,"Nectar alkaloid treatment and bumblebee behavioural response are explicit.","Verify contextual strata, usable counts/means, and independence among assays.",not_extracted
10.3732/ajb.1400171,"Attracting mutualists and antagonists: Plant trait variation explains the distribution of specialist floral herbivores and pollinators on crops and wild gourds",2014,B_to_antagonist,observational_association,trait_variation,"Plant traits are linked to specialist floral herbivores and pollinators.","Verify flower-organ B trait coding and a recoverable trait-antagonist association.",not_extracted