atlas_id,study_id,citation_or_doi,plant_taxon,independence_cluster,evidence_status,registered_effect_roles,source_state,main_block,current_permitted_action,prohibited_inference
EA001,Gorden_Adler_2018_Impatiens_capensis,10.1002/ajb2.1182,Impatiens_capensis,Impatiens_2018_field_panel,verified_effect_panel,A_to_pollination;A_to_antagonism;B_to_antagonism;B_to_pollination,title_validated_Dryad_individual_panel,"All four paths are observational; floral tannins are a barrier candidate rather than a manipulated resistance treatment; no linked total fitness surface or shared allocation cost.","Keep four effects separated by role and standardized-slope scale.","Do not claim causal trait effects, D2/D3, or direct c_AD calibration."
EA002,Gross_Sun_Schiestl_2016_Gymnadenia_odoratissima,10.1371/journal.pone.0147975,Gymnadenia_odoratissima,Gymnadenia_odoratissima_2010_2011_panel,verified_one_path_effect,A_to_antagonism,article_declared_title_validated_Dryad_panel,"Only the total-scent to same-day flower-herbivory path is eligible; pollinator outcomes are population-date and no independent floral B module is identified.","Retain the quasi-binomial log-odds record in its own scale stratum.","Do not call it a causal scent effect, individual A_to_pollination evidence, D1 evidence, or a direct Part I parameter."
EA003,Rivea_ornata_2024,10.1186/s12862-024-02301-7,Rivea_ornata,Rivea_ornata_2024_case,high_information_not_eligible,,open_article_and_Mendeley_package,"Visitor exclusion and corolla-damage treatments are not direct independent A or B trait predictors.","Keep in the direct-case/M2 ledger only.","Do not register a trait-path effect from treatment contrasts."
EA004,Perez_Barrales_et_al_2013_Dalechampia_scandens,10.1111/j.1600-0706.2013.20780.x,Dalechampia_scandens,Dalechampia_secondary_package,secondary_package_not_promoted,,later_Dryad_package_with_unverified_article_relation,"Later package has no qualifying source relation or in-package variable dictionary; header names cannot assign trait roles.","Retain as a high-information secondary source lead.","Do not attribute package rows to the 2013 article or assign resin/bracts/pollen as A or B."
EA005,Sun_Armbruster_Huang_2016_Pedicularis_rex,10.1093/aob/mcw097,Pedicularis_rex,Pedicularis_rex_2016_case,aligned_mechanism_blocked,,full_text_plus_aggregate_supplement,"Exsertion conflates flower and bract components; public supplement lacks a recoverable individual panel.","Retain as qualitative M2 mechanism context.","Do not enter a quantitative registry effect or identify separate A and B paths."
EA006,Eilers_et_al_2020_Tanacetum_vulgare,10.3389/fpls.2020.611877,Tanacetum_vulgare,Tanacetum_vulgare_2020_case,M1_descriptive_not_quantitative,,public_full_text_screened,"No eligible trait-to-florivore estimate with uncertainty and denominator; floral terpenoids are not independently justified as B.","Retain as descriptive one-channel mechanism evidence.","Do not treat it as a four-path effect or B-path estimate."
EA007,Castilleja_linariaefolia_2004,10.1111/j.0030-1299.2004.12641.x,Castilleja_linariaefolia,Castilleja_linariaefolia_2004_case,public_source_inaccessible,,metadata_only,"No public full text, supplement, or verified linked data package.","No further automated work in the public-only phase.","Do not infer coefficients or trait roles from title or metadata."
EA008,Campbell_et_al_1991_Ipomopsis_aggregata,10.1086/285190,Ipomopsis_aggregata,Ipomopsis_aggregata_1991_case,public_source_inaccessible,,metadata_only,"No public full text, table, or verified article-linked data package.","No further automated work in the public-only phase.","Do not infer coefficients or trait roles from title or metadata."
EA009,de_Jager_Ellis_2013_Ursinia_calenduliflora,10.1093/aob/mct189,Ursinia_calenduliflora,Ursinia_calenduliflora_2013_case,public_source_inaccessible,,abstract_only_no_eligible_package,"The listed OUP route did not expose full text; no eligible DataCite, Dryad, or Zenodo source package.","Keep as an access conclusion only.","Do not assign floral morph to A or register any outcome effect."
EA010,Gorden_Adler_2016_Impatiens_capensis,10.1002/ecs2.1326,Impatiens_capensis,Impatiens_2016_unknown_overlap,reported_table_screen_pending,,OA_article_route_no_eligible_repository_package,"Need to determine whether reported models expose a direct trait-to-antagonist estimate, denominator, uncertainty, and whether observations overlap the 2018 panel.","One public full-text/table screen only, with independence audit before any registry action.","Do not treat it as an independent replication or B evidence before that screen."
EA011,Kellenberger_et_al_2019_Gymnadenia_rhellicani,10.1038/s41467-018-07936-x,Gymnadenia_rhellicani,Gymnadenia_rhellicani_2016_2017_camera_designs,verified_source_unidentified_visit_effect,,article_declared_Figshare_package,"Individual morph and fitness fields are recoverable, but camera archives do not expose morph-specific display exposure or observation duration through public filenames/manifests.","Require a camera-layout or experiment-mapping record before opening/counting frames; handle 2016 and 2017 designs separately.","Do not substitute fruit, seed, or fitness for a pollination response or estimate colour preference from unexposed image counts."